time_step,hour,soc_kwh,soc_pct,p_ch_kw,p_dis_kw,p_total_ch_kw,p_total_dis_kw,p_afrr_pos_e_kw,p_afrr_neg_e_kw,y_ch,y_dis,y_total_ch,y_total_dis,c_fcr_mw,c_afrr_pos_mw,c_afrr_neg_mw,y_fcr,y_afrr_pos,y_afrr_neg,price_da_eur_mwh,price_fcr_eur_mw,price_afrr_cap_pos_eur_mw,price_afrr_cap_neg_eur_mw,price_afrr_energy_pos_eur_mwh,price_afrr_energy_neg_eur_mwh,cst8_discharge_sum,cst8_charge_sum,revenue_da_eur,revenue_afrr_energy_eur,revenue_as_capacity_eur
0,0,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,25.97,114.8,5.25,25.21,38.7,0,1,1,0,0,64.1732
1,0.25,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,25.97,114.8,5.25,25.21,38.8,8.32,1,1,0,0,64.1732
2,0.5,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,25.97,114.8,5.25,25.21,38.76,0,1,1,0,0,64.1732
3,0.75,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,25.97,114.8,5.25,25.21,509,0,1,1,0,0,64.1732
4,1,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,21.99,114.8,5.25,25.21,41.79,0,1,1,0,0,64.1732
5,1.25,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,21.99,114.8,5.25,25.21,37.7,11,1,1,0,0,64.1732
6,1.5,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,21.99,114.8,5.25,25.21,32.84,10.9,1,1,0,0,64.1732
7,1.75,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,21.99,114.8,5.25,25.21,32.8,0,1,1,0,0,64.1732
8,2,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,14.32,114.8,5.25,25.21,72.84,0,1,1,0,0,64.1732
9,2.25,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,14.32,114.8,5.25,25.21,66.83,5.2,1,1,0,0,64.1732
10,2.5,2236,50,0,0,0,0,0,0,0,0,0,0,2.236,0,0,1,0,0,14.32,114.8,5.25,25.21,21.31,0,1,1,0,0,64.1732
